listingPrice,zestimate,saleLikelihood,avgPriceChange,propertyTaxRate,propertyTaxRateEncoded,arm5BucketRate,favoriteCount,pageViewCount,daysOnMarket,hoaFee,yearBuilt,homeType,bedrooms,bathroomsFloat,parkingCapacity,avgSchoolRating,hasHeating,hasGarage,zipcode,zipcodeEncoded,latitude,longitude,zestimatePriceAvg
5650000.0,5536432.0,0.68,-0.2533,0.88,4,8,12.0,175.0,32.0,2274.0,1994.0,1,3.0,3.0,0.0,10.0,0,0,10023.0,11,40.774803,-73.981476,5593216.0
5800000.0,5594154.0,0.42,0.0005,0.0,4,8,52.0,654.0,201.0,6152.0,1960.0,1,4.0,3.0,0.0,5.0,0,0,10013.0,19,40.721394,-74.00336,5697077.0
5530000.0,5354444.0,0.62,0.0,0.88,4,8,9.0,144.0,48.0,2879.0,2022.0,1,3.0,4.0,0.0,6.0,0,0,10038.0,39,40.7115,-74.007,5442222.0
5595000.0,5415720.0,0.04,0.0435,0.0,4,8,4.0,155.0,367.0,7668.0,1925.0,1,4.0,3.0,0.0,7.0,0,0,10028.0,18,40.778973,-73.96177,5505360.0
5950000.0,5785230.0,0.39,0.0,0.88,0,8,23.0,310.0,194.0,4611.0,2022.0,2,4.0,4.0,0.0,6.0,0,0,10013.0,41,40.726505,-74.008575,5867615.0
5540000.0,5464454.0,0.11,-0.0379,0.65,4,8,11.0,177.0,185.0,3200.0,2020.0,1,3.0,3.0,0.0,8.0,0,0,11201.0,24,40.6957,-73.9914,5502227.0
5900000.0,5670129.0,0.2,-0.0932,0.88,1,8,27.0,634.0,305.0,0.0,1966.0,3,9.0,9.0,0.0,6.0,0,0,10016.0,110,40.748447,-73.97926,5785064.5
5500000.0,1104600.0,0.67,0.0,0.65,0,8,9.0,410.0,2.0,0.0,1900.0,2,26.0,12.0,0.0,5.0,0,0,11231.0,38,40.68205,-73.99802,3302300.0
5700000.0,5497703.0,0.32,0.0,0.88,4,8,6.0,109.0,125.0,2100.0,2017.0,1,2.0,3.0,0.0,5.0,0,0,10001.0,6,40.751858,-74.00299,5598851.5
5550000.0,5357533.0,0.03,0.0355,0.88,4,8,3.0,49.0,275.0,4038.0,2001.0,1,3.0,4.0,1.0,7.0,0,0,10017.0,24,40.75259,-73.96755,5453766.5
5750000.0,5436596.0,0.29,0.0,0.88,0,8,25.0,312.0,314.0,2069.0,2018.0,2,3.0,4.0,0.0,6.0,0,0,10013.0,9,40.72207,-74.00264,5593298.0
5800000.0,5523636.0,0.33,0.3344,0.65,4,8,3.0,171.0,181.0,0.0,1931.0,1,5.0,2.0,0.0,7.0,0,0,11220.0,20,40.636513,-74.008865,5661818.0
5790000.0,5605455.0,0.9,-0.027,0.88,4,8,21.0,338.0,3.0,4404.0,2013.0,1,3.0,4.0,0.0,7.0,0,0,10012.0,12,40.723,-73.9933,5697727.5
5750000.0,5572164.0,0.85,0.0319,0.88,1,8,32.0,875.0,34.0,1772.0,1930.0,3,2.0,3.0,0.0,5.0,0,0,10013.0,120,40.720688,-74.002686,5661082.0
5889000.0,5616075.0,0.65,0.0,0.65,1,8,1.0,95.0,41.0,0.0,1926.0,3,4.0,3.0,0.0,8.0,0,0,11214.0,95,40.605423,-73.99904,5752537.5
5800000.0,5579746.0,0.03,0.0,0.88,4,8,2.0,50.0,278.0,2619.0,2021.0,1,2.0,3.0,0.0,10.0,0,0,10023.0,6,40.777,-73.9832,5689873.0
5795000.0,5670821.0,0.71,-0.0271,0.88,0,8,26.0,534.0,23.0,4058.0,2000.0,2,5.0,5.0,0.0,5.0,0,0,10069.0,19,40.77975,-73.987274,5732910.5
4999000.0,4844391.0,0.72,0.1132,0.88,4,8,15.0,162.0,9.0,4528.0,2016.0,1,3.0,3.0,0.0,7.0,0,0,10022.0,18,40.759083,-73.96587,4921695.5
4995000.0,5262000.0,0.31,-0.0459,0.0,4,8,16.0,203.0,268.0,4911.0,1927.0,1,2.0,2.0,0.0,7.0,0,0,10128.0,41,40.782,-73.9584,5128500.0
4995000.0,4858400.0,0.3,0.0358,0.88,4,8,7.0,169.0,391.0,3762.0,2009.0,1,4.0,5.0,0.0,6.0,0,0,10028.0,9,40.777164,-73.951706,4926700.0
5900000.0,5247400.0,0.03,-0.021,0.65,4,8,0.0,99.0,394.0,0.0,1910.0,1,8.0,4.0,0.0,7.0,0,0,11220.0,41,40.6385,-74.00496,5573700.0
5750000.0,5516300.0,0.17,0.1435,0.0,1,8,4.0,71.0,139.0,4860.0,1917.0,3,2.0,4.0,0.0,7.0,1,0,10065.0,94,40.76726,-73.96712,5633150.0
4999000.0,4871752.0,0.96,0.0352,0.88,4,8,40.0,453.0,8.0,3865.0,1927.0,1,3.0,4.0,0.0,6.0,0,0,10007.0,38,40.713776,-74.01293,4935376.0
5750000.0,5580383.0,0.06,-0.0112,0.88,4,8,10.0,114.0,228.0,4622.0,2020.0,1,4.0,5.0,0.0,7.0,0,0,10028.0,9,40.77987,-73.95524,5665191.5
5750000.0,5548200.0,0.64,0.2188,0.0,4,8,16.0,286.0,38.0,5808.0,1961.0,1,4.0,4.0,0.0,7.0,0,0,10011.0,14,40.73561,-73.99559,5649100.0
4999000.0,4859028.0,0.07,0.6159,0.88,0,8,5.0,154.0,359.0,2913.0,1998.0,2,5.0,4.0,0.0,6.0,0,0,10024.0,9,40.787163,-73.974525,4929014.0
4995000.0,4791866.0,0.3,-0.0235,0.88,4,8,10.0,298.0,276.0,2746.0,2017.0,1,2.0,3.0,0.0,6.0,0,0,10014.0,20,40.7302,-74.0101,4893433.0
5750000.0,5512886.0,0.7,0.0,0.65,4,8,18.0,882.0,37.0,0.0,1930.0,1,4.0,4.0,0.0,5.0,0,0,11231.0,17,40.680077,-73.9982,5631443.0
5900000.0,5805536.0,0.06,-0.0231,0.65,1,8,64.0,884.0,185.0,0.0,1905.0,5,11.0,9.0,0.0,5.0,0,0,11205.0,112,40.6894,-73.9658,5852768.0
4995000.0,4903348.0,0.54,1.793,0.88,0,8,50.0,636.0,57.0,1304.0,1900.0,2,3.0,4.0,0.0,6.0,0,0,10007.0,41,40.71369,-74.00804,4949174.0
5900000.0,5791743.0,0.78,0.056,0.0,4,8,18.0,404.0,17.0,5587.0,1981.0,1,5.0,5.0,0.0,10.0,0,0,10023.0,24,40.7711,-73.9828,5845871.5
5750000.0,5605849.0,0.81,0.0351,0.88,0,8,40.0,531.0,26.0,2921.0,2003.0,2,3.0,4.0,0.0,7.0,0,0,10022.0,18,40.757656,-73.966064,5677924.5
5850000.0,5732706.0,0.68,-0.0085,0.88,4,8,13.0,202.0,33.0,3567.0,1927.0,1,4.0,4.0,0.0,6.0,0,0,10128.0,16,40.781,-73.95415,5791353.0
5725000.0,5492179.0,0.11,0.0,0.88,4,8,2.0,42.0,286.0,2898.0,2022.0,1,2.0,3.0,0.0,6.0,0,0,10011.0,18,40.74821,-74.00689,5608589.5
5895000.0,5777100.0,0.01,-0.0123,0.88,4,7,5.0,157.0,72.0,3187.0,1984.0,1,4.0,4.0,0.0,6.0,0,0,10128.0,41,40.7855,-73.955,5836050.0
